Gene stable ID,NCBI gene (formerly Entrezgene) ID
ENSMUSG00000064336,
ENSMUSG00000064337,
ENSMUSG00000064338,
ENSMUSG00000064339,
ENSMUSG00000064340,
ENSMUSG00000064341,17716
ENSMUSG00000064342,
ENSMUSG00000064343,
ENSMUSG00000064344,
ENSMUSG00000064345,17717
ENSMUSG00000064346,
ENSMUSG00000064347,
ENSMUSG00000064348,
ENSMUSG00000064349,
ENSMUSG00000064350,
ENSMUSG00000064351,17708
ENSMUSG00000064352,
ENSMUSG00000064353,
ENSMUSG00000064354,17709
ENSMUSG00000064355,
ENSMUSG00000064356,17706
ENSMUSG00000064357,17705
ENSMUSG00000064358,17710
ENSMUSG00000064359,
ENSMUSG00000064360,17718
ENSMUSG00000064361,
ENSMUSG00000065947,17720
ENSMUSG00000064363,17719
ENSMUSG00000064364,
ENSMUSG00000064365,
ENSMUSG00000064366,
ENSMUSG00000064367,17721
ENSMUSG00000064368,17722
ENSMUSG00000064369,
ENSMUSG00000064370,17711
ENSMUSG00000064371,
ENSMUSG00000064372,
ENSMUSG00002075400,
ENSMUSG00002076890,
ENSMUSG00002074899,
ENSMUSG00000095019,
ENSMUSG00000096776,100039479
ENSMUSG00000095666,100862115
ENSMUSG00000094741,100503733
ENSMUSG00000094303,108168681
ENSMUSG00000079800,
ENSMUSG00000095250,118568473
ENSMUSG00000095041,
ENSMUSG00000094836,100861655
ENSMUSG00000094722,100862245
ENSMUSG00000074720,
ENSMUSG00000094383,108168683
ENSMUSG00000094383,108168684
ENSMUSG00000094383,108169098
ENSMUSG00000094383,108169101
ENSMUSG00000096680,102634529
ENSMUSG00000096236,100862192
ENSMUSG00000096244,100039499
ENSMUSG00000095787,
ENSMUSG00000095092,
ENSMUSG00000094337,665290
ENSMUSG00000079192,
ENSMUSG00000096100,
ENSMUSG00000096756,100862202
ENSMUSG00000095505,
ENSMUSG00000094054,100503923
ENSMUSG00000144201,
ENSMUSG00000094474,100041712
ENSMUSG00000079794,
ENSMUSG00000095672,
ENSMUSG00000094799,105242404
ENSMUSG00000079190,100041057
ENSMUSG00000094791,
ENSMUSG00000095570,624931
ENSMUSG00000144196,
ENSMUSG00000096550,545762
ENSMUSG00000096728,665755
ENSMUSG00000094514,102636558
ENSMUSG00000144204,
ENSMUSG00000094172,620551
ENSMUSG00000094887,100041806
ENSMUSG00000091585,108168685
ENSMUSG00000095763,100039010
ENSMUSG00000095523,100038995
ENSMUSG00000095475,545763
ENSMUSG00000094855,620639
ENSMUSG00002074970,
ENSMUSG00002075729,
ENSMUSG00000094915,671917
ENSMUSG00000079808,102638047
ENSMUSG00000079222,
ENSMUSG00000094874,102633783
ENSMUSG00000095500,
ENSMUSG00000095450,
ENSMUSG00000094728,
ENSMUSG00000062783,114564
ENSMUSG00000096808,
ENSMUSG00000144203,
ENSMUSG00000144199,
ENSMUSG00000100384,
ENSMUSG00000100216,
ENSMUSG00000099641,
ENSMUSG00000095634,100039810
ENSMUSG00000095634,100861743
ENSMUSG00000095634,100862360
ENSMUSG00000095634,108168574
ENSMUSG00000095634,108168596
ENSMUSG00000101393,
ENSMUSG00000100885,
ENSMUSG00000101120,
ENSMUSG00000101216,
ENSMUSG00000100032,
ENSMUSG00000101080,
ENSMUSG00000094444,
ENSMUSG00000100308,
ENSMUSG00000101423,
ENSMUSG00000095626,
ENSMUSG00000101761,
ENSMUSG00000099493,
ENSMUSG00000096777,
ENSMUSG00000102119,
ENSMUSG00000100739,
ENSMUSG00000095345,
ENSMUSG00000100709,
ENSMUSG00000100976,
ENSMUSG00000100489,
ENSMUSG00000101239,
ENSMUSG00000100971,
ENSMUSG00000100509,
ENSMUSG00000095553,
ENSMUSG00000101099,
ENSMUSG00000101601,
ENSMUSG00000101516,
ENSMUSG00000101359,
ENSMUSG00000100790,
ENSMUSG00000101302,
ENSMUSG00000102125,
ENSMUSG00000094064,
ENSMUSG00000101421,
ENSMUSG00000099461,
ENSMUSG00000101706,
ENSMUSG00000096532,
ENSMUSG00000101627,
ENSMUSG00000101681,
ENSMUSG00000101870,
ENSMUSG00000101472,
ENSMUSG00000101407,
ENSMUSG00000099500,
ENSMUSG00000100097,
ENSMUSG00000099806,
ENSMUSG00000101474,
ENSMUSG00000099704,
ENSMUSG00000099737,108168560
ENSMUSG00000099914,
ENSMUSG00000101417,
ENSMUSG00000101654,
ENSMUSG00000099369,
ENSMUSG00000101808,
ENSMUSG00000101893,
ENSMUSG00000099910,
ENSMUSG00000099818,
ENSMUSG00000100500,
ENSMUSG00000101255,
ENSMUSG00000099463,
ENSMUSG00000100745,
ENSMUSG00000101341,
ENSMUSG00000100193,
ENSMUSG00000099651,
ENSMUSG00000100535,73329
ENSMUSG00000099390,
ENSMUSG00000099738,
ENSMUSG00000100422,
ENSMUSG00000101988,
ENSMUSG00000100385,
ENSMUSG00000101626,
ENSMUSG00000101091,
ENSMUSG00000100229,
ENSMUSG00000101691,
ENSMUSG00000100244,
ENSMUSG00000100694,
ENSMUSG00000099799,
ENSMUSG00000101806,
ENSMUSG00000101632,
ENSMUSG00000099963,
ENSMUSG00000101857,
ENSMUSG00000101836,
ENSMUSG00000102008,
ENSMUSG00000100263,
ENSMUSG00000101425,
ENSMUSG00000099822,
ENSMUSG00000099547,
ENSMUSG00000101781,
ENSMUSG00000101271,
ENSMUSG00000099504,
ENSMUSG00000099782,100042110
ENSMUSG00000101377,
ENSMUSG00000101038,
ENSMUSG00000101709,
ENSMUSG00000100604,
ENSMUSG00000099554,
ENSMUSG00000099814,
ENSMUSG00000101757,
ENSMUSG00000101815,
ENSMUSG00000101538,
ENSMUSG00000100251,
ENSMUSG00000100983,
ENSMUSG00000101820,
ENSMUSG00000099832,
ENSMUSG00000101246,
ENSMUSG00000101382,
ENSMUSG00000099967,
ENSMUSG00000100705,
ENSMUSG00000101157,108168510
ENSMUSG00000099712,
ENSMUSG00000099586,
ENSMUSG00000101879,
ENSMUSG00000099412,
ENSMUSG00000101831,
ENSMUSG00000099601,
ENSMUSG00000101704,
ENSMUSG00000101349,
ENSMUSG00000100140,
ENSMUSG00000094575,382133
